Date,Site,Country,Ad Exchange impressions,Ad Exchange clicks,Ad Exchange CTR,Ad Exchange revenue ($),Ad Exchange average eCPM ($),Ad Exchange ad requests,Ad Exchange match rate
11/10/24,cloudgaminghub.site,United Arab Emirates,17,0,0.00%,0.11,6.37,22,95.45%
11/10/24,cloudgaminghub.site,Ukraine,15,0,0.00%,0.07,4.93,19,84.21%
11/10/24,cloudgaminghub.site,United Kingdom,"1,512",33,2.18%,51.55,34.09,"2,474",94.99%
11/10/24,cloudgaminghub.site,United States,"1,649",41,2.49%,63.65,38.60,"2,438",83.39%
11/10/24,funtimeh5.site,N/A,143,4,2.80%,0.17,1.22,171,98.83%
11/10/24,funtimeh5.site,Australia,"2,970",75,2.53%,82.99,27.94,"4,006",95.56%
11/10/24,funtimeh5.site,Brazil,803,13,1.62%,3.64,4.53,"1,008",97.12%
11/10/24,funtimeh5.site,Canada,629,18,2.86%,20.53,32.64,842,93.23%
11/10/24,funtimeh5.site,Chile,656,9,1.37%,2.06,3.14,826,95.40%
11/10/24,funtimeh5.site,China,6,0,0.00%,0.03,4.66,8,100.00%
11/10/24,funtimeh5.site,Estonia,9,1,11.11%,0.12,12.90,9,100.00%
11/10/24,funtimeh5.site,France,"2,207",56,2.54%,49.34,22.36,"2,362",97.12%
11/10/24,funtimeh5.site,French Guiana,10,2,20.00%,0.03,2.97,10,100.00%
11/10/24,funtimeh5.site,Germany,784,22,2.81%,23.76,30.31,879,93.29%
11/10/24,funtimeh5.site,Greece,"2,245",68,3.03%,18.20,8.11,"2,366",99.07%
11/10/24,funtimeh5.site,Indonesia,6,0,0.00%,0.01,1.56,6,100.00%
11/10/24,funtimeh5.site,Italy,"2,084",65,3.12%,29.70,14.25,"2,256",96.41%
11/10/24,funtimeh5.site,Jamaica,6,0,0.00%,0.02,3.94,8,100.00%
11/10/24,funtimeh5.site,Japan,"2,155",57,2.65%,44.65,20.72,"2,921",87.81%
11/10/24,funtimeh5.site,Mexico,6,0,0.00%,0.09,15.80,6,100.00%
11/10/24,funtimeh5.site,Netherlands,"4,181",142,3.40%,141.46,33.83,"4,915",89.16%
11/10/24,funtimeh5.site,Pakistan,31,0,0.00%,0.04,1.20,36,100.00%
11/10/24,funtimeh5.site,Qatar,6,0,0.00%,0.01,1.06,6,100.00%
11/10/24,funtimeh5.site,Romania,9,0,0.00%,0.03,3.57,10,100.00%
11/10/24,funtimeh5.site,Saint Kitts and Nevis,3,0,0.00%,0.00,1.00,4,100.00%
11/10/24,funtimeh5.site,Saudi Arabia,22,0,0.00%,0.07,3.08,28,100.00%
11/10/24,funtimeh5.site,Singapore,"2,034",50,2.46%,26.32,12.94,"2,593",96.14%
11/10/24,funtimeh5.site,Spain,827,25,3.02%,10.48,12.67,878,97.61%
11/10/24,funtimeh5.site,Sweden,3,0,0.00%,0.02,6.53,3,100.00%
11/10/24,funtimeh5.site,Switzerland,"3,251",115,3.54%,150.16,46.19,"3,923",86.39%
11/10/24,funtimeh5.site,United Arab Emirates,50,2,4.00%,0.27,5.46,59,100.00%
11/10/24,funtimeh5.site,Ukraine,12,0,0.00%,0.01,1.18,12,100.00%
